id,title,rating,uri,card_subtitle
36691620,至尊马蒂,7.3,douban://douban.com/movie/36691620,2025 / 芬兰 美国 / 剧情 运动 / 乔什·萨弗迪 / 提莫西·查拉梅 格温妮斯·帕特洛
26404869,惊天魔盗团3,5.7,douban://douban.com/movie/26404869,2025 / 美国 / 剧情 动作 犯罪 / 鲁本·弗雷斯彻 / 杰西·艾森伯格 伍迪·哈里森
36986482,女孩,7.2,douban://douban.com/movie/36986482,2025 / 中国台湾 中国大陆 / 剧情 / 舒淇 / 邱泽 汤毓绮
37335090,追恶,6.0,douban://douban.com/movie/37335090,2026 / 中国大陆 / 动作 犯罪 / 成思毅 / 释小龙 王真儿
36394612,你好，爱美丽,8.1,douban://douban.com/movie/36394612,2025 / 法国 比利时 / 动画 家庭 / 迈利斯·瓦拉德 韩良畴 / 洛伊斯·夏庞蒂埃 维多利亚·格罗布瓦
4092781,无可奈何,7.3,douban://douban.com/movie/4092781,2025 / 韩国 / 剧情 喜剧 惊悚 犯罪 / 朴赞郁 / 李炳宪 孙艺珍
3262044,弗兰肯斯坦,7.4,douban://douban.com/movie/3262044,2025 / 墨西哥 美国 / 剧情 科幻 恐怖 奇幻 / 吉尔莫·德尔·托罗 / 奥斯卡·伊萨克 雅各布·艾洛蒂
34850525,96分钟：列车爆炸案,6.9,douban://douban.com/movie/34850525,2025 / 中国台湾 / 剧情 动作 犯罪 / 洪子烜 / 林柏宏 宋芸桦
35064920,拯救地球,7.1,douban://douban.com/movie/35064920,2025 / 爱尔兰 英国 加拿大 韩国 美国 / 喜剧 科幻 犯罪 / 欧格斯·兰斯莫斯 / 艾玛·斯通 杰西·普莱蒙
37296908,非传统浪漫关系,5.8,douban://douban.com/movie/37296908,2026 / 中国大陆 / 剧情 喜剧 爱情 / 梁文哲 / 朱颜曼滋 任彬
37247238,普通事故,7.4,douban://douban.com/movie/37247238,2025 / 伊朗 法国 卢森堡 美国 / 剧情 悬疑 惊悚 犯罪 / 贾法·帕纳西 / 瓦希德·穆巴谢里 玛丽亚姆·阿夫沙里
26351864,风林火山,6.4,douban://douban.com/movie/26351864,2025 / 中国香港 中国大陆 / 剧情 犯罪 / 麦浚龙 / 金城武 刘青云
35700339,飞行家,7.2,douban://douban.com/movie/35700339,2025 / 中国大陆 / 剧情 喜剧 / 鹏飞 / 蒋奇明 李雪琴
